ProductName,Description,Price
Red Cotton Saree,soft cotton saree daily wear comfortable traditional,599
Blue Silk Saree,elegant silk saree wedding party traditional,1299
Green Printed Saree,printed casual saree summer lightweight,799
Bridal Lehenga,heavy embroidered bridal lehenga wedding wear,3999
Casual Kurti,lightweight kurti daily casual ethnic wear,699
Designer Gown,modern party gown evening stylish wear,1999
Office Wear Kurti,simple formal kurti office comfortable wear,899
Festive Anarkali,fancy anarkali festive traditional outfit,2499
Cotton Salwar Suit,comfortable cotton salwar daily wear ethnic,999
Party Wear Saree,stylish party wear saree for celebrations,1599
